"trip_id","trip_id_orig","observed","trip_date","julian_date_s","day_id","trip_duration","day_trip","group_type","pooled","harvest","forager_id","age_type","age_dist_1","age_dist_2","sex","dogs","gun","trip_year","a_1_id","a_1_sex","a_1_age_dist_1","a_1_age_dist_2","a_1_firearms"
144,144,NA,1981-12-19,-0.544205834423616,4370,8,1,"Independent",0,25,29,"Exact",26,0,"M",0,1,1981,NA,NA,NA,NA,NA
145,145,NA,1982-03-04,-0.537678368900824,4445,4.5,1,"Independent",0,16,44,"Exact",29,0,"M",NA,1,1982,NA,NA,NA,NA,NA
146,146,NA,1982-04-02,-0.535154415565345,4474,NA,1,"Independent",0,35,29,"Exact",27,0,"M",0,1,1982,NA,NA,NA,NA,NA
147,147,NA,1982-04-27,-0.532978593724414,4499,4.5,1,"Independent",0,20,29,"Exact",27,0,"M",NA,1,1982,NA,NA,NA,NA,NA
148,148,NA,1982-05-02,-0.532543429356228,4504,NA,1,"Independent",0,20,29,"Exact",27,0,"M",NA,1,1982,NA,NA,NA,NA,NA
149,149,NA,1982-05-16,-0.531324969125307,4518,NA,1,"Independent",0,30,29,"Exact",27,0,"M",0,1,1982,NA,NA,NA,NA,NA
150,150,NA,1982-06-03,-0.529758377399837,4536,NA,1,"Independent",0,45,44,"Exact",29,0,"M",NA,1,1982,NA,NA,NA,NA,NA
151,151,NA,1982-07-24,-0.525319700844339,4587,8,1,"Independent",0,60,29,"Exact",27,0,"M",1,1,1982,NA,NA,NA,NA,NA
152,152,NA,1982-08-13,-0.523579043371595,4607,4.5,1,"Independent",0,9,29,"Exact",27,0,"M",NA,1,1982,NA,NA,NA,NA,NA
153,153,NA,1982-08-21,-0.522882780382497,4615,8,1,"Independent",0,45,4,"Exact",19,0,"M",0,1,1982,NA,NA,NA,NA,NA
154,154,NA,1982-10-11,-0.518444103826998,4666,8,1,"Cooperative",1,15,25,"Exact",29,0,"M",1,NA,1982,NA,NA,NA,NA,NA
154,154,NA,1982-10-11,-0.518444103826998,4666,8,1,"Cooperative",1,15,29,"Exact",27,0,"M",1,NA,1982,NA,NA,NA,NA,NA
154,154,NA,1982-10-11,-0.518444103826998,4666,8,1,"Cooperative",1,15,44,"Exact",29,0,"M",1,NA,1982,NA,NA,NA,NA,NA
155,155,NA,1982-10-15,-0.51809597233245,4670,4.5,1,"Independent",0,12,4,"Exact",19,0,"M",NA,1,1982,NA,NA,NA,NA,NA
156,156,NA,1982-10-16,-0.518008939458812,4671,NA,1,"Independent",0,35,4,"Exact",19,0,"M",NA,1,1982,NA,NA,NA,NA,NA
157,157,NA,1984-04-07,-0.47109822056835,5210,NA,1,"Independent",0,15,12,"Exact",26,0,"M",NA,NA,1984,NA,NA,NA,NA,NA
158,158,NA,1984-07-11,-0.462830097572814,5305,8,1,"Cooperative",0,0,29,"Exact",29,0,"M",NA,1,1984,NA,NA,NA,NA,NA
158,158,NA,1984-07-11,-0.462830097572814,5305,NA,1,"Cooperative",0,0,35,"Exact",18,0,"M",NA,1,1984,NA,NA,NA,NA,NA
159,159,NA,1984-07-08,-0.463091196193726,5302,8,1,"Independent",0,0,29,"Exact",29,0,"M",0,1,1984,NA,NA,NA,NA,NA
160,160,NA,1984-07-13,-0.46265603182554,5307,8,1,"Independent",0,0,17,"Exact",26,0,"M",0,1,1984,NA,NA,NA,NA,NA
161,161,NA,1984-01-10,-0.478757113448426,5122,4.5,1,"Independent",0,0,11,"Exact",32,0,"M",0,1,1984,NA,NA,NA,NA,NA
162,162,NA,1984-01-15,-0.47832194908024,5127,NA,1,"Independent",0,0,36,"Exact",25,0,"M",0,1,1984,NA,NA,NA,NA,NA
163,163,NA,1984-01-07,-0.479018212069337,5119,8,1,"Independent",0,0,44,"Exact",31,0,"M",0,0,1984,NA,NA,NA,NA,NA
164,164,NA,1984-01-10,-0.478757113448426,5122,8,1,"Independent",0,0,44,"Exact",31,0,"M",0,1,1984,NA,NA,NA,NA,NA
165,165,NA,1984-01-11,-0.478670080574788,5123,8,1,"Independent",0,0,44,"Exact",31,0,"M",0,1,1984,NA,NA,NA,NA,NA
166,166,NA,1984-01-13,-0.478496014827514,5125,NA,1,"Independent",0,0,44,"Exact",31,0,"M",0,1,1984,NA,NA,NA,NA,NA
167,167,NA,1984-01-07,-0.479018212069337,5119,4.5,1,"Independent",0,0,15,"Exact",40,0,"M",NA,1,1984,NA,NA,NA,NA,NA
168,168,NA,1984-01-10,-0.478757113448426,5122,4.5,1,"Independent",0,40,4,"Exact",21,0,"M",NA,1,1984,NA,NA,NA,NA,NA
169,169,NA,2062-05-15,2.01168856568065,33737,8,1,"Independent",0,0,13,"Exact",31,0,"M",0,0,1962,NA,NA,NA,NA,NA
170,170,NA,1984-01-08,-0.4789311791957,5120,8,1,"Independent",0,0,29,"Exact",29,0,"M",0,1,1984,NA,NA,NA,NA,NA
171,171,NA,1984-01-09,-0.478844146322063,5121,8,1,"Independent",0,0,29,"Exact",29,0,"M",0,1,1984,NA,NA,NA,NA,NA
172,172,NA,1984-01-15,-0.47832194908024,5127,4.5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
